Series,Episode,Code,Type,Group,Description,Second Description,Seat 1 points,Seat 2 Points,Seat 3 Points,Seat 4 Points,Seat 4 Points,Tags,Youtube Link
10,1,M2,Main,no,,,,,,,,,
10,1,M3,Main,no,,,,,,,,,
10,1,F,Final,no,,,,,,,,,
10,2,P,Prize,no,,,,,,,,,
10,2,M1,Main,no,,,,,,,,,
10,2,M2,Main,no,,,,,,,,,
10,2,M3,Main,no,,,,,,,,,
10,2,F,Final,no,,,,,,,,,
10,3,P,Prize,no,,,,,,,,,
10,3,M1,Main,no,,,,,,,,,
10,3,M2,Main,no,,,,,,,,,
10,3,M3,Main,no,,,,,,,,,
10,3,F,Final,no,,,,,,,,,
10,4,P,Prize,no,,,,,,,,,
10,4,M1,Main,no,,,,,,,,,
10,4,M2,Main,no,,,,,,,,,
10,4,M3,Main,no,,,,,,,,,
10,4,F,Final,no,,,,,,,,,
10,5,P,Prize,no,,,,,,,,,
10,5,M1,Main,no,,,,,,,,,
10,5,M2,Main,no,,,,,,,,,
10,5,M3,Main,no,,,,,,,,,
10,5,F,Final,no,,,,,,,,,
10,6,P,Prize,no,,,,,,,,,
10,6,M1,Main,no,,,,,,,,,
10,6,M2,Main,no,,,,,,,,,
10,6,M3,Main,no,,,,,,,,,
10,6,F,Final,no,,,,,,,,,
10,7,P,Prize,no,,,,,,,,,
10,7,M1,Main,no,,,,,,,,,
10,7,M2,Main,no,,,,,,,,,
10,7,M3,Main,no,,,,,,,,,
10,7,F,Final,no,,,,,,,,,
10,8,P,Prize,no,,,,,,,,,
10,8,M1,Main,no,,,,,,,,,
10,8,M2,Main,no,,,,,,,,,
10,8,M3,Main,no,,,,,,,,,
10,8,F,Final,no,,,,,,,,,
10,9,P,Prize,no,,,,,,,,,
10,9,M1,Main,no,,,,,,,,,
10,9,M2,Main,no,,,,,,,,,
10,9,M3,Main,no,,,,,,,,,
10,9,F,Final,no,,,,,,,,,
10,10,P,Prize,no,,,,,,,,,
10,10,M1,Main,no,,,,,,,,,
10,10,M2,Main,no,,,,,,,,,
10,10,M3,Main,no,,,,,,,,,
10,10,F,Final,no,,,,,,,,,
NYT,1,P,Prize,no,,,,,,,,,
NYT,1,M1,Main,no,,,,,,,,,
NYT,1,M2,Main,no,,,,,,,,,
NYT,1,M3,Main,no,,,,,,,,,
NYT,1,F,Final,no,,,,,,,,,
11,1,P,Prize,no,,,,,,,,,
11,1,M1,Main,no,,,,,,,,,
11,1,M2,Main,no,,,,,,,,,
11,1,M3,Main,no,,,,,,,,,
11,1,F,Final,no,,,,,,,,,
11,2,P,Prize,no,,,,,,,,,
11,2,M1,Main,no,,,,,,,,,
11,2,M2,Main,no,,,,,,,,,
11,2,M3,Main,no,,,,,,,,,
11,2,F,Final,no,,,,,,,,,
11,3,P,Prize,no,,,,,,,,,
11,3,M1,Main,no,,,,,,,,,
11,3,M2,Main,no,,,,,,,,,
11,3,M3,Main,no,,,,,,,,,
11,3,F,Final,no,,,,,,,,,
11,4,P,Prize,no,,,,,,,,,
11,4,M1,Main,no,,,,,,,,,
11,4,M2,Main,no,,,,,,,,,
11,4,M3,Main,no,,,,,,,,,
11,4,F,Final,no,,,,,,,,,
11,5,P,Prize,no,,,,,,,,,
11,5,M1,Main,no,,,,,,,,,
11,5,M2,Main,no,,,,,,,,,
11,5,M3,Main,no,,,,,,,,,
11,5,F,Final,no,,,,,,,,,
11,6,P,Prize,no,,,,,,,,,
11,6,M1,Main,no,,,,,,,,,
11,6,M2,Main,no,,,,,,,,,
11,6,M3,Main,no,,,,,,,,,
11,6,F,Final,no,,,,,,,,,
11,7,P,Prize,no,,,,,,,,,
11,7,M1,Main,no,,,,,,,,,
11,7,M2,Main,no,,,,,,,,,
11,7,M3,Main,no,,,,,,,,,
11,7,F,Final,no,,,,,,,,,
11,8,P,Prize,no,,,,,,,,,
11,8,M1,Main,no,,,,,,,,,
11,8,M2,Main,no,,,,,,,,,
11,8,M3,Main,no,,,,,,,,,
11,8,F,Final,no,,,,,,,,,
11,9,P,Prize,no,,,,,,,,,
11,9,M1,Main,no,,,,,,,,,
11,9,M2,Main,yes,,,,,,,,,
11,9,M3,Main,no,,,,,,,,,
11,9,F,Final,no,,,,,,,,,
11,10,P,Prize,no,,,,,,,,,
11,10,M1,Main,no,,,,,,,,,
11,10,M2,Main,no,,,,,,,,,
11,10,M3,Main,no,,,,,,,,,
11,10,F,Final,no,,,,,,,,,
12,1,P,Prize,no,,,,,,,,,
12,1,M1,Main,no,,,,,,,,,
12,1,M2,Main,no,,,,,,,,,
12,1,M3,Main,no,,,,,,,,,
12,1,F,Final,no,,,,,,,,,
12,2,P,Prize,no,,,,,,,,,
12,2,M1,Main,no,,,,,,,,,
12,2,M2,Main,no,,,,,,,,,
12,2,M3,Main,no,,,,,,,,,
12,2,F,Final,no,,,,,,,,,
12,3,P,Prize,no,,,,,,,,,
12,3,M1,Main,no,,,,,,,,,
12,3,M2,Main,no,,,,,,,,,
12,3,M3,Main,no,,,,,,,,,
12,3,F,Final,no,,,,,,,,,
12,4,P,Prize,no,,,,,,,,,
12,4,M1,Main,no,,,,,,,,,
12,4,M2,Main,no,,,,,,,,,
12,4,M3,Main,no,,,,,,,,,
12,4,F,Final,no,,,,,,,,,
12,5,P,Prize,no,,,,,,,,,
12,5,M1,Main,no,,,,,,,,,
12,5,M2,Main,no,,,,,,,,,
12,5,M3,Main,no,,,,,,,,,
12,5,F,Final,no,,,,,,,,,
12,6,P,Prize,no,,,,,,,,,
12,6,M1,Main,no,,,,,,,,,
12,6,M2,Main,no,,,,,,,,,
12,6,M3,Main,no,,,,,,,,,
12,6,F,Final,no,,,,,,,,,
12,7,P,Prize,no,,,,,,,,,
12,7,M1,Main,no,,,,,,,,,
12,7,M2,Main,no,,,,,,,,,
12,7,M3,Main,no,,,,,,,,,
12,7,F,Final,no,,,,,,,,,
12,8,P,Prize,no,,,,,,,,,
12,8,M1,Main,no,,,,,,,,,
12,8,M2,Main,no,,,,,,,,,
12,8,M3,Main,no,,,,,,,,,
12,8,F,Final,no,,,,,,,,,
12,9,P,Prize,no,,,,,,,,,
12,9,M1,Main,no,,,,,,,,,
12,9,M2,Main,no,,,,,,,,,
12,9,M3,Main,no,,,,,,,,,
12,9,F,Final,no,,,,,,,,,
12,10,P,Prize,no,,,,,,,,,
12,10,M1,Main,no,,,,,,,,,
12,10,M2,Main,no,,,,,,,,,
12,10,M3,Main,no,,,,,,,,,
12,10,F,Final,no,,,,,,,,,
NYT II,1,P,Prize,no,,,,,,,,,
NYT II,1,M1,Main,no,,,,,,,,,
NYT II,1,M2,Main,no,,,,,,,,,
NYT II,1,M3,Main,no,,,,,,,,,
NYT II,1,F,Final,no,,,,,,,,,
13,1,P,Prize,no,,,,,,,,,
13,1,M1,Main,no,,,,,,,,,
13,1,M2,Main,no,,,,,,,,,
13,1,M3,Main,no,,,,,,,,,
13,1,F,Final,no,,,,,,,,,
13,2,P,Prize,no,,,,,,,,,
13,2,M1,Main,no,,,,,,,,,
13,2,M2,Main,no,,,,,,,,,
13,2,M3,Main,no,,,,,,,,,
13,2,F,Final,no,,,,,,,,,
13,3,P,Prize,no,,,,,,,,,
13,3,M1,Main,no,,,,,,,,,
13,3,M2,Main,no,,,,,,,,,
13,3,M3,Main,no,,,,,,,,,
13,3,F,Final,no,,,,,,,,,
13,4,P,Prize,no,,,,,,,,,
13,4,M1,Main,no,,,,,,,,,
13,4,M2,Main,no,,,,,,,,,
13,4,M3,Main,no,,,,,,,,,
13,4,F,Final,no,,,,,,,,,
13,5,P,Prize,no,,,,,,,,,
13,5,M1,Main,no,,,,,,,,,
13,5,M2,Main,no,,,,,,,,,
13,5,M3,Main,no,,,,,,,,,
13,5,F,Final,no,,,,,,,,,
13,6,P,Prize,no,,,,,,,,,
13,6,M1,Main,no,,,,,,,,,
13,6,M2,Main,no,,,,,,,,,
13,6,M3,Main,no,,,,,,,,,
13,6,F,Final,no,,,,,,,,,
13,7,P,Prize,no,,,,,,,,,
13,7,M1,Main,no,,,,,,,,,
13,7,M2,Main,no,,,,,,,,,
13,7,M3,Main,no,,,,,,,,,
13,7,F,Final,no,,,,,,,,,
13,8,P,Prize,no,,,,,,,,,
13,8,M1,Main,no,,,,,,,,,
13,8,M2,Main,no,,,,,,,,,
13,8,M3,Main,no,,,,,,,,,
13,8,F,Final,no,,,,,,,,,
13,9,P,Prize,no,,,,,,,,,
13,9,M1,Main,no,,,,,,,,,
13,9,M2,Main,no,,,,,,,,,
13,9,M3,Main,no,,,,,,,,,
13,9,F,Final,no,,,,,,,,,
13,10,P,Prize,no,,,,,,,,,
13,10,M1,Main,no,,,,,,,,,
13,10,M2,Main,no,,,,,,,,,
13,10,M3,Main,no,,,,,,,,,
13,10,F,Final,no,,,,,,,,,
CoC II,1,P,Prize,no,,,,,,,,,
CoC II,1,M1,Main,no,,,,,,,,,
CoC II,1,M2,Main,no,,,,,,,,,
CoC II,1,M3,Main,no,,,,,,,,,
CoC II,1,F,Final,no,,,,,,,,,
14,1,P,Prize,no,,,,,,,,,
14,1,M1,Main,no,,,,,,,,,
14,1,M2,Main,no,,,,,,,,,
14,1,M3,Main,no,,,,,,,,,
14,1,F,Final,no,,,,,,,,,
14,2,P,Prize,no,,,,,,,,,
14,2,M1,Main,no,,,,,,,,,
14,2,M2,Main,no,,,,,,,,,
14,2,M3,Main,no,,,,,,,,,
14,2,F,Final,no,,,,,,,,,
14,3,P,Prize,no,,,,,,,,,
14,3,M1,Main,no,,,,,,,,,
14,3,M2,Main,no,,,,,,,,,
14,3,M3,Main,no,,,,,,,,,
14,3,F,Final,no,,,,,,,,,
14,4,P,Prize,no,,,,,,,,,
14,4,M1,Main,no,,,,,,,,,
14,4,M2,Main,no,,,,,,,,,
14,4,M3,Main,no,,,,,,,,,
14,4,F,Final,no,,,,,,,,,
14,5,P,Prize,no,,,,,,,,,
14,5,M1,Main,no,,,,,,,,,
14,5,M2,Main,no,,,,,,,,,
14,5,M3,Main,no,,,,,,,,,
14,5,F,Final,no,,,,,,,,,
14,6,P,Prize,no,,,,,,,,,
14,6,M1,Main,no,,,,,,,,,
14,6,M2,Main,no,,,,,,,,,
14,6,M3,Main,no,,,,,,,,,
14,6,F,Final,no,,,,,,,,,
14,7,P,Prize,no,,,,,,,,,
14,7,M1,Main,no,,,,,,,,,
14,7,M2,Main,no,,,,,,,,,
14,7,M3,Main,no,,,,,,,,,
14,7,F,Final,no,,,,,,,,,
14,8,P,Prize,no,,,,,,,,,
14,8,M1,Main,no,,,,,,,,,
14,8,M2,Main,no,,,,,,,,,
14,8,M3,Main,no,,,,,,,,,
14,8,F,Final,no,,,,,,,,,
14,9,P,Prize,no,,,,,,,,,
14,9,M1,Main,no,,,,,,,,,
14,9,M2,Main,no,,,,,,,,,
14,9,M3,Main,no,,,,,,,,,
14,9,F,Final,no,,,,,,,,,
14,10,P,Prize,no,,,,,,,,,
14,10,M1,Main,no,,,,,,,,,
14,10,M2,Main,no,,,,,,,,,
14,10,M3,Main,no,,,,,,,,,
14,10,F,Final,no,,,,,,,,,
NYT III,1,P,Prize,no,,,,,,,,,
NYT III,1,M1,Main,no,,,,,,,,,
NYT III,1,M2,Main,no,,,,,,,,,
NYT III,1,M3,Main,no,,,,,,,,,
NYT III,1,F,Final,no,,,,,,,,,
15,1,P,Prize,no,Bring in the most dependable thing that weighs about 1kg.,,3,1,2,4,5,,
15,1,M1,Main,no,Have the best dance at a wedding with Alex. You can choose whatever music you want but must be wearing these headphones throughout. Your first dance must last no more than a minute. You have 20 minutes to prepare. Your time starts now.,,1,2,3,5,4,dance timed best,
15,1,M2,Main,no,Completely unwind this ball of string. Your time started when you said Alex's name.,Put a neat ball of string on the cushion. Fastest wins. You do not have to unwind the ball of string. Your time started when you said Alex's name.,1,2,4,3,5,fastest,
15,1,M3,Main,no,Get all the rubber rings on your bargepole. You may not touch the bargepole or rubber rings at any point. You have a maximum of half an hour. Time starts now.,,2,4,2,3,5,location timed fastest,
15,1,F,Final,no,Throw your items into your bucket. You must select one item when Alex blows his whistle. You must then throw that item when Alex throws his whistle again. If your bucket falls you are disqualified. You must stay on your spot and you must not move your spot. Most items in a standing bucket wins.,,5,0,5,0,0,most throwing,
15,2,P,Prize,no,"Bring in the object which, when you look at it, makes you feel the weirdest.",,4,3,1,5,1,,
15,2,M1,Main,no,Compose a solo for this musician. The solo must be original and less than 30 seconds long. You have 5 minutes. Your time starts now.,Make something that looks like this musician's musical instrument. Then mime to your new solo. You may not use a musical instrument in the creation of your musical instrument. Best performance wins. You have 15 minutes. Your time starts now.,4,5,5,5,4,music guest timed,
15,2,M2,Main,yes,"Build the highest bridge over the red green and balance the potato on the middle of the bridge. The potato may not be anchored in any way. If anything touches the red green you must put everything back where you found it, tut, and go back to the drawing board. You have 20 minutes.Your time starts now.",,5,5,3,3,3,build timed,
15,2,M3,Main,no,Achieve the most impressive effect with a single breath. You must take your breath and achieve your effect within the next 20 minutes. Most impressive effect wins.,,3,1,1,1,4,build timed,
15,2,F,Final,no,Create a recognisable picture of an animal on the back of your T-shirt using the equipment provided. You must stay on your spot and you must not move your spot. If you create the same animal as someone else you will both be disqualified. Best recognisable picture of an animal on your back wins. You have 200 seconds.,,0,3,5,0,4,timed art,
15,3,P,Prize,no,,,,,,,,,
15,3,M1,Main,no,,,,,,,,,
15,3,M2,Main,no,,,,,,,,,
15,3,M3,Main,no,,,,,,,,,
15,3,F,Final,no,,,,,,,,,
15,4,P,Prize,no,,,,,,,,,
15,4,M1,Main,no,,,,,,,,,
15,4,M2,Main,no,,,,,,,,,
15,4,M3,Main,no,,,,,,,,,
15,4,F,Final,no,,,,,,,,,
15,5,P,Prize,no,,,,,,,,,
15,5,M1,Main,no,,,,,,,,,
15,5,M2,Main,no,,,,,,,,,
15,5,M3,Main,no,,,,,,,,,
15,5,F,Final,no,,,,,,,,,
15,6,P,Prize,no,,,,,,,,,
15,6,M1,Main,no,,,,,,,,,
15,6,M2,Main,no,,,,,,,,,
15,6,M3,Main,no,,,,,,,,,
15,6,F,Final,no,,,,,,,,,
15,7,P,Prize,no,,,,,,,,,
15,7,M1,Main,no,,,,,,,,,
15,7,M2,Main,no,,,,,,,,,
15,7,M3,Main,no,,,,,,,,,
15,7,F,Final,no,,,,,,,,,
15,8,P,Prize,no,,,,,,,,,
15,8,M1,Main,no,,,,,,,,,
15,8,M2,Main,no,,,,,,,,,
15,8,M3,Main,no,,,,,,,,,
15,8,F,Final,no,,,,,,,,,
15,9,P,Prize,no,,,,,,,,,
15,9,M1,Main,no,,,,,,,,,
15,9,M2,Main,no,,,,,,,,,
15,9,M3,Main,no,,,,,,,,,
15,9,F,Final,no,,,,,,,,,
15,10,P,Prize,no,,,,,,,,,
15,10,M1,Main,no,,,,,,,,,
15,10,M2,Main,no,,,,,,,,,
15,10,M3,Main,no,,,,,,,,,
15,10,F,Final,no,,,,,,,,,